date,type,number
2017,casual,75.1
2017,matchmaking,68.3
2017,online,204.7
2017,total,302.4
2018,casual,86.6
2018,matchmaking,75.9
2018,online,243.7
2018,total,353.2
2019,casual,102
2019,matchmaking,84.6
2019,online,280.3
2019,total,405.4
2020,casual,122.6
2020,matchmaking,100.6
2020,online,316.2
2020,total,467.5
2021,casual,138
2021,matchmaking,108.1
2021,online,347.2
2021,total,513.2
2022,casual,152.1
2022,matchmaking,110
2022,online,366.6
2022,total,543.2
